School Name,Pincode,District
SRI SAI RAM EM SCHOOL CHINNAPAPPUR,515445,Anantpur
KESAVA REDDY E.M. SCHOOL,515445,Anantpur
MOURYA JUNIOR COLLEGE CHINNAPAPPURU,515445,Anantpur
S R V N SCHOOL,515435,Anantpur
SRI VINAYAKA E.M SCHOOL NAYANAPALLICROSS,515435,Anantpur
A.N.R. SCHOOL,515435,Anantpur
S S VIDYANIKETHAN,515731,Anantpur
HYDERABAD ENGISH MEDIUM SCHOOL,515731,Anantpur
HYDERABAD EM SCHOOL LOLUR CROSS GOOTY HIGH WAY,515731,Anantpur
S.R.CONVENT KHADARPETA,515775,Anantpur
SRN EMUPS EDDULAPALLI,515775,Anantpur
SRISARSWATHI VIDYAMANDIR,515775,Anantpur
TRINITY EM PRIMARY SCHOOL,515775,Anantpur
VIGNAN PRIMARY E M SCHOOL,515775,Anantpur
TRINITY E.M.HS PAMIDI,515775,Anantpur
SRI SARASWATHI VIDYAMANDI,515775,Anantpur
S.F.S. PRIMARY SCHOOL,515775,Anantpur
SARASWATHI VIDYA MAN,515775,Anantpur
SFS EM HIGH SCHOOL PAMIDI,515775,Anantpur
VIGNAN EMHS PAMIDI,515775,Anantpur
SR JUNIOR COLLEGE PAMIDI,515775,Anantpur
KRISHNAVENI ENGLISH MEDIUM UP SCHOOL,515775,Anantpur
SRI CHAITANYA ENGLISH MEDIUM UP SCHOOL,515775,Anantpur
KRISHNAVENI EM SCHOOL,515775,Anantpur
SRI CHAITANYA EM SCHOOL,515775,Anantpur
SRI NALANDA E.M SCHOOL,515775,Anantpur
SRI CHAITANYA EM SCHOOL HANUMAN TALKIES ROAD,515775,Anantpur
SARASWATHI SISU MANDIR,515774,Anantpur
SRI SATYA SAI UPPER PRIMA,515774,Anantpur
SRI SARASWATHI VIDYA NIKE,515774,Anantpur
VIDYA CHITANYA UP EM SCHO,515774,Anantpur
SRISATYASAI EMHS KALLUR,515774,Anantpur
SRI SARASWATHI VNHS,515774,Anantpur
VISWA VANI EMS ILLUR,515611,Anantpur
SRI VIDYACHAITANYA UPS,515731,Anantpur
SRI AMRUTHA VIDYALAYAM,515731,Anantpur
SRI SAI KIRANMAI VID,515731,Anantpur
AKSHARA INTL EM PS,515731,Anantpur
AKSHARA INTL EM HS,515731,Anantpur
NARAYANA JUNIOR COLLEGE,515731,Anantpur
